address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
9KNJo5yqo4FEhbgWjpkuiY4HyfdrDvxcncxDTERo3ghr,9,2024-01-23 11:38:02+00:00,3508.2416963601263,427.8084499215772,Erom Inu,Erom,,2387.691999724217,https://birdeye.so/token/9KNJo5yqo4FEhbgWjpkuiY4HyfdrDvxcncxDTERo3ghr
E5SQmBdNoAsSfQFv8i9z9RKNaCPaJ782Y2rLEdfDXwhX,9,2024-01-23 11:38:34+00:00,2242.284097061423,6401.278876324384,Coca Sola,SOLA,,12269.727903359906,https://birdeye.so/token/E5SQmBdNoAsSfQFv8i9z9RKNaCPaJ782Y2rLEdfDXwhX
8e5m9uHEqNoGfTz4FasJW7FXD1BJBaVUpsdVhnb6ZJPr,9,2024-01-23 11:38:45+00:00,5831.285270789881,12497.872464282347,Psicopato,PSICO,,39802.27502928898,https://birdeye.so/token/8e5m9uHEqNoGfTz4FasJW7FXD1BJBaVUpsdVhnb6ZJPr
A8H7tLgNj9gvMp6jBqednegv3jEbWCK9u5dx9yK5fU7S,9,2024-01-23 11:38:29+00:00,4426.365438340474,12709.592838651632,Baby Samoyed,BABYSAMO,,14592.83237682487,https://birdeye.so/token/A8H7tLgNj9gvMp6jBqednegv3jEbWCK9u5dx9yK5fU7S
CW7r5LsDpUULTwwU7GrgPVGG1CSKAYUJRCjAQtCS4ch6,9,2024-01-23 11:38:31+00:00,2122.910242557481,2273.118521734511,Adin Ross's Dog,ICON,,64845.4786923534,https://birdeye.so/token/CW7r5LsDpUULTwwU7GrgPVGG1CSKAYUJRCjAQtCS4ch6
Ddu3ANFCFV8oCjnTcPczqCPdBkbjfMKkBi5U2xQJL6S7,9,2024-01-23 11:38:43+00:00,2893.113687727257,6218.873257342215,YONKE,YONKE,,114913.04315082666,https://birdeye.so/token/Ddu3ANFCFV8oCjnTcPczqCPdBkbjfMKkBi5U2xQJL6S7
msNaQCVmhdCg4SkrvVqd63a3R5EZAtBXgSBtWT3SZZv,8,2024-01-23 11:36:22+00:00,1118.5237198183268,617.0220592649473,Yellow Canary,canary,,12251.22008107441,https://birdeye.so/token/msNaQCVmhdCg4SkrvVqd63a3R5EZAtBXgSBtWT3SZZv
CTFXpF5H3NA1QqG3L9KGByZEhSXruhm66i2QzFg2dDkD,3,2024-01-23 11:30:04+00:00,1353.126509066376,772.0390959618336,Sonke,SONKE,,49920.36533662824,https://birdeye.so/token/CTFXpF5H3NA1QqG3L9KGByZEhSXruhm66i2QzFg2dDkD
DbLJrcUUTSL4VCfkbw7VEwaexFBLUGbthPcYQdgiVeBE,9,2024-01-23 11:38:37+00:00,1320.5964253763027,1987.015153965452,Dramatic Gopher,GOPHER,,43061.05576098058,https://birdeye.so/token/DbLJrcUUTSL4VCfkbw7VEwaexFBLUGbthPcYQdgiVeBE
BusCnGLLqGdb8ZJz3Bfb86mELtGi3nGaF18Vbs861XUr,6,2024-01-23 11:38:43+00:00,1511.821260177132,3481.91245344798,Buttcoin,Buttcoin,,14546.742662808983,https://birdeye.so/token/BusCnGLLqGdb8ZJz3Bfb86mELtGi3nGaF18Vbs861XUr
